"Wavelength","Reflectance","status"
349.988087237,0.419116582709119,"Fresh"
350.988087237,0.413739874406763,"Fresh"
351.988087237,0.39706592839661,"Fresh"
352.988087237,0.387151877579041,"Fresh"
353.988087237,0.384825421226177,"Fresh"
354.988087237,0.371241311834407,"Fresh"
355.988087237,0.358353497133247,"Fresh"
356.988087237,0.355953107493549,"Fresh"
357.988087237,0.36000044296588,"Fresh"
358.988087237,0.343745921278536,"Fresh"
359.988087237,0.332344328350133,"Fresh"
360.988087237,0.327191078926782,"Fresh"
361.988087237,0.323007595729053,"Fresh"
362.988087237,0.319038087668902,"Fresh"
363.988087237,0.312229438055549,"Fresh"
364.988087237,0.30221110641023,"Fresh"
365.988087237,0.289882433285222,"Fresh"
366.988087237,0.273595172125838,"Fresh"
367.988087237,0.264051520381087,"Fresh"
368.988087237,0.260055118031431,"Fresh"
369.988087237,0.249975602228563,"Fresh"
370.988087237,0.239058031470035,"Fresh"
371.988087237,0.228686211928576,"Fresh"
372.988087237,0.220143110657291,"Fresh"
373.988087237,0.216134747289715,"Fresh"
374.988087237,0.212473962718027,"Fresh"
375.988087237,0.205362871661047,"Fresh"
376.988087237,0.193822070347578,"Fresh"
377.988087237,0.184741107987453,"Fresh"
378.988087237,0.178048327361569,"Fresh"
379.988087237,0.171825954198143,"Fresh"
380.988087237,0.16374010443606,"Fresh"
381.988087237,0.155456761808406,"Fresh"
382.988087237,0.14724795593065,"Fresh"
383.988087237,0.139410887530701,"Fresh"
384.988087237,0.132446202206437,"Fresh"
385.988087237,0.122389046918221,"Fresh"
386.988087237,0.112694263837393,"Fresh"
387.988087237,0.105593184599359,"Fresh"
388.988087237,0.0976487407083752,"Fresh"
389.988087237,0.0925612532299693,"Fresh"
390.988087237,0.0882813995202431,"Fresh"
391.988087237,0.0820520144252629,"Fresh"
392.988087237,0.0766607969545662,"Fresh"
393.988087237,0.0726858972898092,"Fresh"
394.988087237,0.0698593138026848,"Fresh"
395.988087237,0.0674312393334491,"Fresh"
396.988087237,0.0659060815319666,"Fresh"
397.988087237,0.064628145688694,"Fresh"
398.988087237,0.0631033492810412,"Fresh"
399.988087237,0.0612689989388041,"Fresh"
400.988087237,0.0601557281818225,"Fresh"
401.988087237,0.0592255290736013,"Fresh"
402.988087237,0.0578833611077137,"Fresh"
403.988087237,0.0569687716176907,"Fresh"
404.988087237,0.0568371153171182,"Fresh"
405.988087237,0.0567955429396832,"Fresh"
406.988087237,0.0557366030513262,"Fresh"
407.988087237,0.0546935833130926,"Fresh"
408.988087237,0.0542196174305285,"Fresh"
409.988087237,0.0542375461244183,"Fresh"
410.988087237,0.0539528497783908,"Fresh"
411.988087237,0.0533060199582976,"Fresh"
412.988087237,0.0531469390932674,"Fresh"
413.988087237,0.0538127575593414,"Fresh"
414.988087237,0.0535139837995781,"Fresh"
415.988087237,0.0534712483786587,"Fresh"
416.988087237,0.0536273660713334,"Fresh"
417.988087237,0.0534200945246729,"Fresh"
418.988087237,0.0535134495343865,"Fresh"
419.988087237,0.0533787195455502,"Fresh"
420.988087237,0.0529603243169388,"Fresh"
421.988087237,0.0528135978924649,"Fresh"
422.988087237,0.0530313522101248,"Fresh"
423.988087237,0.0531466562752096,"Fresh"
424.988087237,0.0529180193221149,"Fresh"
425.988087237,0.0529439560047616,"Fresh"
426.988087237,0.0529827474832494,"Fresh"
427.988087237,0.0528570484010135,"Fresh"
428.988087237,0.0525167243496169,"Fresh"
429.988087237,0.0524710542307825,"Fresh"
430.988087237,0.0524321118605114,"Fresh"
431.988087237,0.0523223066586954,"Fresh"
432.988087237,0.0523156469691389,"Fresh"
433.988087237,0.0520474603341411,"Fresh"
434.988087237,0.0517501082439134,"Fresh"
435.988087237,0.051644556624766,"Fresh"
436.988087237,0.0516607482523177,"Fresh"
437.988087237,0.051887326057603,"Fresh"
438.988087237,0.0520788913750787,"Fresh"
439.988087237,0.0519586996003631,"Fresh"
440.988087237,0.0518083776822286,"Fresh"
441.988087237,0.0517126716242078,"Fresh"
442.988087237,0.0516658071273646,"Fresh"
443.988087237,0.0515954941118529,"Fresh"
444.988087237,0.0516874891069307,"Fresh"
445.988087237,0.0517502942832031,"Fresh"
446.988087237,0.0516806526428303,"Fresh"
447.988087237,0.0517483486744317,"Fresh"
448.988087237,0.05174379597856,"Fresh"
449.988087237,0.0517376364963406,"Fresh"
450.988087237,0.0518623699079017,"Fresh"
451.988087237,0.0519234566174006,"Fresh"
452.988087237,0.0519748501135234,"Fresh"
453.988087237,0.0520411146462577,"Fresh"
454.988087237,0.0520978926560435,"Fresh"
455.988087237,0.0521045484429866,"Fresh"
456.988087237,0.0521105680402047,"Fresh"
457.988087237,0.0521605820793723,"Fresh"
458.988087237,0.0522527887865624,"Fresh"
459.988087237,0.0522536208706967,"Fresh"
460.988087237,0.0522062893928659,"Fresh"
461.988087237,0.0522145633894481,"Fresh"
462.988087237,0.0521858968147192,"Fresh"
463.988087237,0.0521605545636845,"Fresh"
464.988087237,0.052163730389548,"Fresh"
465.988087237,0.0521907889689816,"Fresh"
466.988087237,0.0522261585136022,"Fresh"
467.988087237,0.0522277460776844,"Fresh"
468.988087237,0.0522186753627159,"Fresh"
469.988087237,0.0524506347873919,"Fresh"
470.988087237,0.0524864149721076,"Fresh"
471.988087237,0.0523912651279881,"Fresh"
472.988087237,0.0524471898496384,"Fresh"
473.988087237,0.0523880256748056,"Fresh"
474.988087237,0.0523387201840302,"Fresh"
475.988087237,0.0524050930070262,"Fresh"
476.988087237,0.0526192837203049,"Fresh"
477.988087237,0.0526787042979464,"Fresh"
478.988087237,0.052639873176893,"Fresh"
479.988087237,0.0526421186446531,"Fresh"
480.988087237,0.0527489176125037,"Fresh"
481.988087237,0.052894262239767,"Fresh"
482.988087237,0.0529977176849322,"Fresh"
483.988087237,0.0530030820429328,"Fresh"
484.988087237,0.053142964869654,"Fresh"
485.988087237,0.0532909038609001,"Fresh"
486.988087237,0.0533753195749935,"Fresh"
487.988087237,0.0534745761127061,"Fresh"
488.988087237,0.0537860991121002,"Fresh"
489.988087237,0.0540968413784236,"Fresh"
490.988087237,0.0542154602959158,"Fresh"
491.988087237,0.054582892223545,"Fresh"
492.988087237,0.0549374141405409,"Fresh"
493.988087237,0.0552718017023365,"Fresh"
494.988087237,0.0557721465269455,"Fresh"
495.988087237,0.0562992076775023,"Fresh"
496.988087237,0.0568483171477755,"Fresh"
497.988087237,0.0574565470443581,"Fresh"
498.988087237,0.0581977360402036,"Fresh"
499.988087237,0.0590928790253366,"Fresh"
500.988087237,0.060111913564949,"Fresh"
501.988087237,0.0612357686317533,"Fresh"
502.988087237,0.0626189390067356,"Fresh"
503.988087237,0.0641238165470785,"Fresh"
504.988087237,0.0657565029391747,"Fresh"
505.988087237,0.0676675579468845,"Fresh"
506.988087237,0.0697909485973071,"Fresh"
507.988087237,0.0721920051560424,"Fresh"
508.988087237,0.0749096517351179,"Fresh"
509.988087237,0.0778634940678904,"Fresh"
510.988087237,0.0810778385483273,"Fresh"
511.988087237,0.0846287275242669,"Fresh"
512.988087237,0.088582017038778,"Fresh"
513.988087237,0.0927847483212819,"Fresh"
514.988087237,0.097340857707172,"Fresh"
515.988087237,0.102256680335199,"Fresh"
516.988087237,0.107403840825331,"Fresh"
517.988087237,0.11285603307221,"Fresh"
