"Wavelength","Reflectance","status"
350.002402927136,0.348021473460912,"dry"
351.002402927136,0.34869879795812,"dry"
352.002402927136,0.331333726177531,"dry"
353.002402927136,0.317614457208198,"dry"
354.002402927136,0.314313491079397,"dry"
355.002402927136,0.307888410630404,"dry"
356.002402927136,0.293759125629184,"dry"
357.002402927136,0.290969846150649,"dry"
358.002402927136,0.300168963022264,"dry"
359.002402927136,0.283985749066879,"dry"
360.002402927136,0.273789275845129,"dry"
361.002402927136,0.268702440935666,"dry"
362.002402927136,0.262206471392077,"dry"
363.002402927136,0.262963575764229,"dry"
364.002402927136,0.258803551760382,"dry"
365.002402927136,0.248096075887844,"dry"
366.002402927136,0.234977048571969,"dry"
367.002402927136,0.223098279620191,"dry"
368.002402927136,0.217751781489378,"dry"
369.002402927136,0.215782015648524,"dry"
370.002402927136,0.207545535226928,"dry"
371.002402927136,0.199091536588331,"dry"
372.002402927136,0.189500350559213,"dry"
373.002402927136,0.180396799417279,"dry"
374.002402927136,0.180988342111599,"dry"
375.002402927136,0.179080667102408,"dry"
376.002402927136,0.172872115273117,"dry"
377.002402927136,0.164326214854251,"dry"
378.002402927136,0.156883807307721,"dry"
379.002402927136,0.150906654603254,"dry"
380.002402927136,0.145879668758985,"dry"
381.002402927136,0.140744489605599,"dry"
382.002402927136,0.134078106782543,"dry"
383.002402927136,0.126937221749134,"dry"
384.002402927136,0.120311644811623,"dry"
385.002402927136,0.114859181572187,"dry"
386.002402927136,0.106878943574075,"dry"
387.002402927136,0.0985419394123918,"dry"
388.002402927136,0.0917491589042076,"dry"
389.002402927136,0.0850363763979148,"dry"
390.002402927136,0.0809456525740618,"dry"
391.002402927136,0.0776214532242033,"dry"
392.002402927136,0.0725940274254769,"dry"
393.002402927136,0.0672121938005067,"dry"
394.002402927136,0.0637884138892831,"dry"
395.002402927136,0.0619852235961679,"dry"
396.002402927136,0.0597178504219865,"dry"
397.002402927136,0.0586407224049814,"dry"
398.002402927136,0.0577401159492555,"dry"
399.002402927136,0.0563946686898293,"dry"
400.002402927136,0.0551349589235039,"dry"
401.002402927136,0.0543026838488587,"dry"
402.002402927136,0.0536275437007857,"dry"
403.002402927136,0.0528447157628244,"dry"
404.002402927136,0.0523840309100915,"dry"
405.002402927136,0.052453201944016,"dry"
406.002402927136,0.0524986244734458,"dry"
407.002402927136,0.051692671100958,"dry"
408.002402927136,0.0509394611897219,"dry"
409.002402927136,0.0508341724694312,"dry"
410.002402927136,0.051269357521095,"dry"
411.002402927136,0.0513112828674641,"dry"
412.002402927136,0.0508875305619617,"dry"
413.002402927136,0.0508827861420635,"dry"
414.002402927136,0.0517239834690023,"dry"
415.002402927136,0.0518295483820993,"dry"
416.002402927136,0.0521505779605364,"dry"
417.002402927136,0.0525996915187822,"dry"
418.002402927136,0.0527066857521159,"dry"
419.002402927136,0.0531377981551483,"dry"
420.002402927136,0.053428672499317,"dry"
421.002402927136,0.0534737661692957,"dry"
422.002402927136,0.0536581144580855,"dry"
423.002402927136,0.0543021076635717,"dry"
424.002402927136,0.0548673642821891,"dry"
425.002402927136,0.0550550755262815,"dry"
426.002402927136,0.0556176585521302,"dry"
427.002402927136,0.0560563101599087,"dry"
428.002402927136,0.0563638313814345,"dry"
429.002402927136,0.0567463773713763,"dry"
430.002402927136,0.0573819928883345,"dry"
431.002402927136,0.0579821448276492,"dry"
432.002402927136,0.0585344611353962,"dry"
433.002402927136,0.0593083017716419,"dry"
434.002402927136,0.0597785789626412,"dry"
435.002402927136,0.0602836629587601,"dry"
436.002402927136,0.0610829824177926,"dry"
437.002402927136,0.0618749424910617,"dry"
438.002402927136,0.0628892731995357,"dry"
439.002402927136,0.063914491773507,"dry"
440.002402927136,0.0646699462819981,"dry"
441.002402927136,0.0654458751572677,"dry"
442.002402927136,0.0664273180464248,"dry"
443.002402927136,0.0675476657403727,"dry"
444.002402927136,0.0685311909127306,"dry"
445.002402927136,0.069764598255115,"dry"
446.002402927136,0.0710627315988934,"dry"
447.002402927136,0.0722924430012706,"dry"
448.002402927136,0.073683867382866,"dry"
449.002402927136,0.0751257373871521,"dry"
450.002402927136,0.0766531275286231,"dry"
451.002402927136,0.0783293490829399,"dry"
452.002402927136,0.0800386863189428,"dry"
453.002402927136,0.0818183798285527,"dry"
454.002402927136,0.083689348926925,"dry"
455.002402927136,0.0856424023140466,"dry"
456.002402927136,0.0876777742035897,"dry"
457.002402927136,0.0898108337717263,"dry"
458.002402927136,0.092035259455736,"dry"
459.002402927136,0.0942811973351903,"dry"
460.002402927136,0.0965331638621041,"dry"
461.002402927136,0.0988193923423181,"dry"
462.002402927136,0.101173587539192,"dry"
463.002402927136,0.103538537136545,"dry"
464.002402927136,0.105901110511902,"dry"
465.002402927136,0.108295931735362,"dry"
466.002402927136,0.110803787272277,"dry"
467.002402927136,0.113275205909404,"dry"
468.002402927136,0.115674618911463,"dry"
469.002402927136,0.118044689671343,"dry"
470.002402927136,0.120581893060472,"dry"
471.002402927136,0.122985425152133,"dry"
472.002402927136,0.125238598714855,"dry"
473.002402927136,0.127457579827875,"dry"
474.002402927136,0.129522164552394,"dry"
475.002402927136,0.131572339142042,"dry"
476.002402927136,0.133698231003056,"dry"
477.002402927136,0.135896436651369,"dry"
478.002402927136,0.137836019498112,"dry"
479.002402927136,0.139600702624432,"dry"
480.002402927136,0.141344425580916,"dry"
481.002402927136,0.143060789280478,"dry"
482.002402927136,0.144720682342972,"dry"
483.002402927136,0.146237714848938,"dry"
484.002402927136,0.147524584114424,"dry"
