keV,Sample,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn
7.755,1.787,0,0,0,0,0,0,0.343,0.012,0,0
7.77,1.092,0,0,0,0,0,0,0.239,0.008,0,0
7.785,0.745,0,0,0,0,0,0,0.158,0.007,0,0
7.8,1.44,0,0,0,0,0,0,0.1,0.007,0.002,0
7.815,1.291,0,0,0,0,0,0,0.061,0.008,0.003,0
7.83,1.192,0,0,0,0,0,0,0.035,0.009,0.006,0
7.845,0.745,0,0,0,0,0,0,0.019,0.01,0.011,0
7.86,0.844,0,0,0,0,0,0,0.01,0.011,0.02,0
7.875,1.192,0,0,0,0,0,0,0.005,0.012,0.034,0
7.89,1.192,0,0,0,0,0,0,0.003,0.013,0.054,0
7.905,1.241,0,0,0,0,0,0,0.001,0.014,0.083,0
7.92,1.192,0,0,0,0,0,0,0,0.015,0.121,0
7.935,1.291,0,0,0,0,0,0,0,0.016,0.17,0
7.95,1.589,0,0,0,0,0,0,0,0.018,0.228,0
7.965,1.589,0,0,0,0,0,0,0,0.019,0.291,0
7.98,1.936,0,0,0,0,0,0,0,0.021,0.356,0
7.995,1.837,0,0,0,0,0,0,0,0.023,0.417,0
8.01,2.234,0,0,0,0,0,0,0,0.028,0.465,0
8.025,2.731,0,0,0,0,0,0,0,0.037,0.497,0
8.04,3.128,0,0,0,0,0,0,0,0.054,0.507,0
8.055,2.681,0,0,0,0,0,0,0,0.084,0.495,0
8.07,3.029,0,0,0,0,0,0,0,0.136,0.461,0
8.085,2.731,0,0,0,0,0,0,0,0.222,0.411,0
8.1,3.227,0,0,0,0,0,0,0,0.357,0.35,0
8.115,3.575,0,0,0,0,0,0,0,0.558,0.284,0
8.13,3.178,0,0,0,0,0,0,0,0.842,0.221,0
8.145,3.724,0,0,0,0,0,0,0,1.221,0.164,0
8.16,3.972,0,0,0,0,0,0,0,1.698,0.117,0
8.175,3.724,0,0,0,0,0,0,0,2.26,0.079,0
8.19,4.916,0,0,0,0,0,0,0,2.879,0.051,0
8.205,5.909,0,0,0,0,0,0,0,3.506,0.032,0
8.22,7.498,0,0,0,0,0,0,0,4.083,0.019,0
8.235,7.2,0,0,0,0,0,0,0,4.544,0.011,0
8.25,6.951,0,0,0,0,0,0,0,4.835,0.006,0
8.265,7.001,0,0,0,0,0,0,0,4.917,0.003,0
8.28,7.597,0,0,0,0,0,0,0,4.779,0.001,0
8.295,6.306,0,0,0,0,0,0,0,4.44,0,0
8.31,7.299,0,0,0,0,0,0,0,3.942,0,0
8.325,6.306,0,0,0,0,0,0,0,3.345,0,0
8.34,5.412,0,0,0,0,0,0,0,2.712,0,0
8.355,5.015,0,0,0,0,0,0,0,2.102,0,0
8.37,4.27,0,0,0,0,0,0,0,1.557,0,0.002
8.385,3.674,0,0,0,0,0,0,0,1.103,0,0.004
8.4,3.029,0,0,0,0,0,0,0,0.747,0,0.008
8.415,3.625,0,0,0,0,0,0,0,0.483,0,0.015
8.43,2.532,0,0,0,0,0,0,0,0.299,0,0.027
8.445,2.234,0,0,0,0,0,0,0,0.177,0,0.047
8.46,2.135,0,0,0,0,0,0,0,0.101,0,0.078
8.475,1.887,0,0,0,0,0,0,0,0.055,0,0.124
8.49,1.936,0,0,0,0,0,0,0,0.029,0,0.189
8.505,1.738,0,0,0,0,0,0,0,0.014,0,0.276
8.52,1.639,0,0,0,0,0,0,0,0.007,0,0.387
8.535,1.787,0,0,0,0,0,0,0,0.003,0,0.519
8.55,1.986,0,0,0,0,0,0,0,0.002,0,0.666
8.565,2.135,0,0,0,0,0,0,0,0,0,0.82
8.58,1.887,0,0,0,0,0,0,0,0,0,0.967
8.595,2.234,0,0,0,0,0,0,0,0,0,1.092
8.609,2.582,0,0,0,0,0,0,0,0,0,1.181
8.624,2.383,0,0,0,0,0,0,0,0,0,1.224
8.639,2.83,0,0,0,0,0,0,0,0,0,1.214
8.654,3.078,0,0,0,0,0,0,0,0,0,1.154
8.669,3.078,0,0,0,0,0,0,0,0,0,1.051
8.684,1.738,0,0,0,0,0,0,0,0,0,0.916
8.699,1.688,0,0,0,0,0,0,0,0,0.001,0.765
8.714,1.291,0,0,0,0,0,0,0,0,0.002,0.612
8.729,1.49,0,0,0,0,0,0,0,0,0.003,0.468
8.744,1.241,0,0,0,0,0,0,0,0,0.006,0.344
8.759,1.043,0,0,0,0,0,0,0,0,0.009,0.241
8.774,0.993,0,0,0,0,0,0,0,0,0.013,0.162
8.789,0.894,0,0,0,0,0,0,0,0,0.019,0.104
8.804,0.993,0,0,0,0,0,0,0,0,0.025,0.064
8.819,0.993,0,0,0,0,0,0,0,0,0.033,0.038
8.834,0.596,0,0,0,0,0,0,0,0,0.041,0.022
8.849,0.645,0,0,0,0,0,0,0,0,0.049,0.012
8.864,0.645,0,0,0,0,0,0,0,0,0.056,0.006
8.879,0.546,0,0,0,0,0,0,0,0,0.062,0.003
8.894,0.645,0,0,0,0,0,0,0,0,0.065,0.001
8.909,0.695,0,0,0,0,0,0,0,0,0.066,0
8.924,0.695,0,0,0,0,0,0,0,0,0.063,0
8.939,1.142,0,0,0,0,0,0,0,0,0.058,0
8.954,0.497,0,0,0,0,0,0,0,0,0.052,0
8.969,0.645,0,0,0,0,0,0,0,0,0.044,0
8.984,0.894,0,0,0,0,0,0,0,0,0.035,0
8.999,1.142,0,0,0,0,0,0,0,0,0.027,0
