File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"2733",XL3-86715-richard-2733,"326435",140.251184999999992,-20.248487399999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,421791.978797079,7760843.80712043,2,"8"
XL3-86715-richard,"3903",XL3-86715-richard-3903,"330240",146.292507499999999,-18.423590399999998,"397","0","0","0",Normal,Normal,Normal,Normal,1059567.00482074,7954764.74894966,3,"3"
XL3-86715-richard,"3510",XL3-86715-richard-3510,"330241",152.947777800000011,-26.927499999999998,"174","0","0","0",Normal,Normal,Normal,Normal,1691271.7648441,6964805.83577996,3,"3"
XL3-86715-richard,"2717",XL3-86715-richard-2717,"330512",140.126177799999994,-18.590157410000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,407804.620605245,7944295.59049764,1,"8"
XL3-86715-richard,"4022",XL3-86715-richard-4022,"331967",145.592511900000005,-17.106931029999998,"0","0","0","0",Normal,Normal,Normal,Normal,988999.79365125,8102841.9967353,4,"3"
XL3-86715-richard,"3536",XL3-86715-richard-3536,"333909",142.358333299999998,-11.125000000000000,"0","0","0","0",Normal,Normal,Normal,Normal,648339.623991232,8769859.87588909,2,
XL3-86715-richard,"3509",XL3-86715-richard-3509,"333989",153.208641900000003,-28.222780700000001,"0","0","0","229",Normal,Normal,Normal,Normal,1702951.79004685,6816911.13775663,3,"3"
XL3-86715-richard,"3511",XL3-86715-richard-3511,"333990",153.208641900000003,-28.222780700000001,"0","0","0","154",Normal,Normal,Normal,Normal,1702951.79004685,6816911.13775663,3,"3"
XL3-86715-richard,"3515",XL3-86715-richard-3515,"333991",153.208641900000003,-28.222780700000001,"0","0","0","120",Normal,Normal,Normal,Normal,1702951.79004685,6816911.13775663,3,"3"
XL3-86715-richard,"3496",XL3-86715-richard-3496,"333994",146.250843000000003,-18.915255330000001,"0","0","0","155",Normal,Normal,Normal,Normal,1053546.08676941,7900310.53465571,3,"9"
